LINE1,LINE2,MIDDLELINE
"[(22, 455), (239, 315)]","[(446, 356), (600, 561)]","[(nan, nan), (nan, nan)]"
"[(216, 594), (289, 413)]","[(430, 334), (600, 560)]","[(nan, nan), (nan, nan)]"
"[(205, 582), (310, 346)]","[(213, 599), (289, 411)]","[(nan, nan), (nan, nan)]"
"[(198, 598), (307, 352)]","[(213, 597), (321, 328)]","[(nan, nan), (nan, nan)]"
"[(198, 598), (307, 352)]","[(476, 396), (600, 561)]","[(437, 342), (552, 499)]"
"[(198, 597), (307, 351)]","[(432, 331), (560, 495)]","[(213, 597), (317, 338)]"
"[(197, 599), (315, 333)]","[(407, 303), (527, 467)]","[(212, 599), (298, 385)]"
"[(212, 598), (299, 382)]","[(455, 367), (580, 538)]","[(nan, nan), (nan, nan)]"
"[(197, 598), (314, 334)]","[(212, 599), (297, 387)]","[(nan, nan), (nan, nan)]"
"[(197, 599), (310, 344)]","[(451, 364), (600, 568)]","[(212, 598), (299, 381)]"
"[(197, 599), (314, 336)]","[(454, 368), (600, 568)]","[(212, 599), (292, 400)]"
"[(198, 598), (314, 336)]","[(455, 369), (600, 568)]","[(213, 595), (292, 400)]"
"[(196, 598), (309, 344)]","[(211, 598), (289, 403)]","[(nan, nan), (nan, nan)]"
"[(211, 597), (289, 403)]","[(487, 417), (600, 568)]","[(nan, nan), (nan, nan)]"
"[(196, 598), (311, 338)]","[(211, 599), (289, 405)]","[(nan, nan), (nan, nan)]"
"[(196, 598), (310, 341)]","[(479, 406), (599, 566)]","[(211, 598), (292, 396)]"
"[(211, 598), (292, 396)]","[(423, 330), (576, 520)]","[(nan, nan), (nan, nan)]"
"[(196, 598), (310, 341)]","[(416, 319), (547, 498)]","[(211, 598), (292, 396)]"
"[(211, 598), (312, 346)]","[(417, 321), (545, 496)]","[(nan, nan), (nan, nan)]"
"[(211, 598), (286, 411)]","[(415, 320), (543, 495)]","[(nan, nan), (nan, nan)]"
"[(195, 598), (271, 428)]","[(445, 361), (584, 551)]","[(nan, nan), (nan, nan)]"
